Time stamp,GHI (W/m2),DNI (W/m2), DHI (W/m2),Wet bulb temp (C),Dew point temp (C),Energy (kWh)
01/01/1990 00:00,0,0,0,12.3844,11.6,0
01/01/1990 01:00,0,0,0,12.0406,11.5,0
01/01/1990 02:00,0,0,0,12.3313,12,0
01/01/1990 03:00,0,0,0,12.4312,12.1,0
01/01/1990 04:00,0,0,0,12.8359,12.5,0
01/01/1990 05:00,40,77,34,12.95,12.1,62.0726
01/01/1990 06:00,107,19,102,14.5594,13.6,12.6467
01/01/1990 07:00,223,36,205,15.3609,13.9,27.447
01/01/1990 08:00,304,33,283,16.8188,14.9,24.2191
01/01/1990 09:00,374,27,352,16.8469,14.2,18.5664
01/01/1990 10:00,491,42,453,17.2437,14.2,30.9484
01/01/1990 11:00,570,50,521,17.3406,13.9,37.7051
01/01/1990 12:00,481,28,454,17.1797,13.9,-0.24
01/01/1990 13:00,358,12,347,16.8141,13.6,5.60954
01/01/1990 14:00,274,10,266,15.9516,13.1,3.91085
01/01/1990 15:00,261,19,248,15.9078,13.1,11.9385
01/01/1990 16:00,211,24,197,15.4719,12.9,16.6474
01/01/1990 17:00,121,21,113,15.4156,12.9,14.4661
01/01/1990 18:00,54,38,49,14.8094,13,29.0423
01/01/1990 19:00,0,0,0,14.7219,13,-0.24
01/01/1990 20:00,0,0,0,14.7,13.1,0
01/01/1990 21:00,0,0,0,14.7563,13.3,0
01/01/1990 22:00,0,0,0,14.8906,13.6,0
01/01/1990 23:00,0,0,0,15.1203,14.1,0
02/01/1990 00:00,0,0,0,15.1156,14.2,0
02/01/1990 01:00,0,0,0,15.1844,14.5,0
02/01/1990 02:00,0,0,0,14.8547,13.9,0
02/01/1990 03:00,0,0,0,15.0922,14.8,0
02/01/1990 04:00,0,0,0,14.875,14.5,0
02/01/1990 05:00,29,72,24,14.9047,14.8,58.7013
02/01/1990 06:00,64,8,61,14.4422,13.3,2.61317
02/01/1990 07:00,149,17,140,14.0875,12.2,10.4414
02/01/1990 08:00,251,26,233,13.9813,11,17.3517
02/01/1990 09:00,446,92,372,13.5438,9.6,72.985
02/01/1990 10:00,592,132,473,13.1938,8.4,104.787
02/01/1990 11:00,688,170,524,12.9172,6.9,135.395
02/01/1990 12:00,948,567,398,13.0781,7.1,-0.24
02/01/1990 13:00,943,660,325,13.2344,7.3,621.266
02/01/1990 14:00,753,508,323,13.0766,8,475.127
02/01/1990 15:00,578,407,285,13.2453,8.6,372.632
02/01/1990 16:00,368,238,233,13.4,9.7,201.075
02/01/1990 17:00,166,77,136,13.6938,11,61.463
02/01/1990 18:00,60,47,54,13.3312,11.2,36.1003
02/01/1990 19:00,0,0,0,13.0734,11.6,-0.24
02/01/1990 20:00,0,0,0,12.7594,11.6,0
